00:08:59.336504, YuriyKhvan, 262144120, /start
00:09:02.736512, YuriyKhvan, 262144120, /button
00:09:46.202346, YuriyKhvan, 262144120, рациональные
00:10:09.408215, YuriyKhvan, 262144120, 2 + 5
00:11:14.471927, YuriyKhvan, 262144120, комплексные
00:11:33.912357, YuriyKhvan, 262144120, 1j + 3j
00:11:48.461084, YuriyKhvan, 262144120, 1x + 4x
00:11:59.330383, YuriyKhvan, 262144120, комплексные
00:12:36.182197, YuriyKhvan, 262144120, 2j + 5j
00:12:48.827244, YuriyKhvan, 262144120, рациональные
00:12:57.842633, YuriyKhvan, 262144120, 7 + 10
00:17:09.978655, YuriyKhvan, 262144120, комплексные
00:17:23.651404, YuriyKhvan, 262144120, 2j + 5j
00:23:48.495909, YuriyKhvan, 262144120, комплексные
